year,class,rank,Fname,site,hometown,subject
1371,第一甲,第一名,吳,儒籍,江西,書經
1371,第一甲,第二名,郭,民籍,山西,春秋
1371,第一甲,第三名,吳,儒籍,浙江,詩經
1371,第二甲,第一名,楊,儒籍,江西,春秋
1371,第二甲,第二名,趙,儒籍,浙江,春秋
1371,第二甲,第三名,仇,民籍,山西,書經
1371,第二甲,第四名,丁,儒籍,江西,書經
1371,第二甲,第五名,吳,儒籍,江西,詩經
1371,第二甲,第六名,黃,儒籍,江西,詩經
1371,第二甲,第七名,王,民籍,浙江,詩經
1371,第二甲,第八名,陳,儒籍,福建,禮記
1371,第二甲,第九名,劉,儒籍,山西,詩經
1371,第二甲,第十名,杜,儒籍,江西,詩經
1371,第二甲,第十一名,王,民籍,浙江,春秋
1371,第二甲,第十二名,熊,民籍,江西,春秋
1371,第二甲,第十三名,盧,儒籍,廣西,詩經
1371,第二甲,第十四名,周,儒籍,江西,詩經
1371,第二甲,第十五名,毛,民籍,江西,易經
1371,第二甲,第十六名,王,儒籍,河南,書經
1371,第二甲,第十七名,趙,民籍,浙江,詩經
1371,第三甲,第一名,姚,民籍,江西,春秋
1371,第三甲,第二名,王,民籍,福建,春秋
1371,第三甲,第三名,葉,儒籍,江西,禮記
1371,第三甲,第四名,尹,儒籍,山西,書經
1371,第三甲,第五名,金,an,高麗,春秋
1371,第三甲,第六名,岑,儒籍,浙江,詩經
1371,第三甲,第七名,李,儒籍,福建,春秋
1371,第三甲,第八名,賈,民籍,山西,春秋
1371,第三甲,第九名,梁,儒籍,廣東,書經
1371,第三甲,第十名,聶,儒籍,江西,春秋
1371,第三甲,第十一名,屠,民籍,浙江,易經
1371,第三甲,第十二名,鄭,儒籍,福建,詩經
1371,第三甲,第十三名,趙,儒籍,陝西,禮記
1371,第三甲,第十四名,張,民籍,浙江,書經
1371,第三甲,第十五名,洪,民籍,浙江,書經
1371,第三甲,第十六名,包,民籍,浙江,詩經
1371,第三甲,第十七名,危,儒籍,浙江,易經
1371,第三甲,第十八名,馮,民籍,浙江,春秋
1371,第三甲,第十九名,劉,儒籍,江西,春秋
1371,第三甲,第二十名,郭,軍籍,山西,春秋
1371,第三甲,第二十一名,魏,儒籍,福建,詩經
1371,第三甲,第二十二名,魏,民籍,徐州,詩經
1371,第三甲,第二十三名,張,民籍,廣東,易經
1371,第三甲,第二十四名,林,儒籍,福建,春秋
1371,第三甲,第二十五名,趙,儒籍,浙江,nan
1371,第三甲,第二十六名,俞,儒籍,浙江,nan
1371,第三甲,第二十七名,王,儒籍,浙江,易經
1371,第三甲,第二十八名,康,儒籍,江西,書經
1371,第三甲,第二十九名,聞,儒籍,浙江,書經
1371,第三甲,第三十名,童,民籍,浙江,詩經
1371,第三甲,第三十一名,林,儒籍,福建,易經
1371,第三甲,第三十二名,陳,民籍,福建,易經
1371,第三甲,第三十三名,林,儒籍,福建,春秋
1371,第三甲,第三十四名,王,儒籍,陝西,詩經
1371,第三甲,第三十五名,黃,民籍,福建,春秋
1371,第三甲,第三十六名,齊,民籍,江西,詩經
1371,第三甲,第三十七名,劉,儒籍,北平,詩經
1371,第三甲,第三十八名,陳,儒籍,廣東,春秋
1371,第三甲,第三十九名,鄭,站籍,福建,書經
1371,第三甲,第四十名,陳,儒籍,福建,書經
1371,第三甲,第四十一名,彭,儒籍,江西,書經
1371,第三甲,第四十二名,嚴,儒籍,江西,春秋
1371,第三甲,第四十三名,李,民籍,山西,詩經
1371,第三甲,第四十四名,李,儒籍,江西,詩經
1371,第三甲,第四十五名,陳,儒籍,浙江,詩經
1371,第三甲,第四十六名,胡,民籍,浙江,書經
1371,第三甲,第四十七名,管,儒籍,江西,書經
1371,第三甲,第四十八名,吳,儒籍,江西,易經
1371,第三甲,第四十九名,張,軍籍,山西,書經
1371,第三甲,第五十名,劉,民籍,江西,書經
1371,第三甲,第五十一名,葉,儒籍,浙江,易經
1371,第三甲,第五十二名,林,民籍,福建,春秋
1371,第三甲,第五十三名,劉,儒籍,江西,書經
1371,第三甲,第五十四名,陳,民籍,浙江,春秋
1371,第三甲,第五十五名,何,儒籍,福建,春秋
1371,第三甲,第五十六名,傅,民籍,山東,春秋
1371,第三甲,第五十七名,韓,民籍,浙江,易經
1371,第三甲,第五十八名,何,儒籍,福建,書經
1371,第三甲,第五十九名,王,軍籍,山西,春秋
1371,第三甲,第六十名,馮,民籍,北平,春秋
1371,第三甲,第六十一名,林,儒籍,福建,春秋
1371,第三甲,第六十二名,林,民籍,福建,詩經
1371,第三甲,第六十三名,爾,軍籍,陝西,書經
1371,第三甲,第六十四名,伍,民籍,江西,春秋
1371,第三甲,第六十五名,鄧,民籍,福建,詩經
1371,第三甲,第六十六名,蔡,儒籍,福建,春秋
1371,第三甲,第六十七名,葉,民籍,福建,易經
1371,第三甲,第六十八名,王,軍籍,山西,易經
